name,p50,p95
avrora,1.0897325,1.47006025
batik,20.711530500000002,24.546887149999996
biojava,1.3082345000000002,4.54280375
cassandra,4.584531,7.3771586
eclipse,5.4094625,12.36509585
fop,2.936229,4.372228
graphchi,1.712553,4.256309
h2,9.808471,20.232784499999983
h2o,12.63966,13.29505415
jython,2.683735,3.0742142999999995
luindex,1.071624,1.6473798
lusearch,1.016291,1.448682
pmd,13.5487435,20.05151325
sunflow,1.4579900000000001,2.0078464999999994
tomcat,2.256221,3.938266
xalan,1.253255,1.6823336
zxing,1.4377975,1.9587488
